oid,gender,role_count,birth_year,decade
4da19c5db538b73d930133fa,"""male""",1.0,1925,1920s
4da19c63b538b73d93013487,"""male""",2.0,1954,1950s
4e4f3c1ed707ff1f26000011,"""female""",2.0,1960,1960s
4e5dd84dd707ff1cb400003f,"""male""",5.0,1926,1920s
4da1bb93b538b73d93022be3,"""male""",7.0,1970,1970s
4da19ca0b538b73d9301399b,"""female""",3.0,1958,1950s
4da19ca7b538b73d93013a4a,"""male""",2.0,1907,1900s
4da19cb2b538b73d93013b2e,"""female""",1.0,1935,1930s
4e967372d707ff2652000047,"""male""",1.0,1936,1930s
4da19cb7b538b73d93013bf4,"""male""",6.0,1902,1900s
54ff83f9d707ff0c4f000004,"""female""",2.0,1975,1970s
4da1b864b538b73d9302111e,"""male""",7.0,1971,1970s
4da1e25db538b73d93029ec7,"""male""",4.0,1940,1940s
4e5205f7d707ff1dc7002610,"""male""",2.0,1902,1900s
4da1be6bb538b73d9302450f,"""female""",3.0,1979,1970s
4da19cd8b538b73d93013e5b,"""female""",1.0,1930,1930s
4da19ce3b538b73d93013ea2,"""female""",1.0,1930,1930s
4da19ceeb538b73d93013ec6,"""female""",1.0,1945,1940s
4da1bd19b538b73d93023cee,"""female""",1.0,1924,1920s
4da19cf4b538b73d93013f2e,"""female""",1.0,1930,1930s
5fa257bbd707ff5dda000000,"""female""",1.0,1931,1930s
4e521459d707ff1dc7009365,"""female""",4.0,1975,1970s
4da19d1eb538b73d93014183,"""male""",1.0,1919,1910s
4da19d0bb538b73d930140ec,"""male""",1.0,1948,1940s
4da19d13b538b73d93014126,"""male""",7.0,1949,1940s
4da1b86cb538b73d930212e9,"""male""",4.0,1964,1960s
4da1b7a9b538b73d93020984,"""female""",4.0,1963,1960s
4da19d43b538b73d93014479,"""female""",4.0,1945,1940s
4e794754d707ff765a00000a,"""male""",1.0,1920,1920s
4da1bbe9b538b73d93022f94,"""female""",6.0,1975,1970s
4da1dd67b538b73d93028dd7,"""male""",2.0,1949,1940s
4e4335f8d707ff59d8000014,"""male""",3.0,1949,1940s
4ff7b5bdd707ff0d4300005a,"""male""",3.0,1954,1950s
4da1bc05b538b73d93023068,"""male""",4.0,1917,1910s
4da19d86b538b73d930148b2,"""male""",3.0,1930,1930s
4da1bd41b538b73d93023e7f,"""male""",3.0,1973,1970s
4da1ba7cb538b73d930223a5,"""female""",2.0,1917,1910s
4da19d97b538b73d93014970,"""female""",3.0,1953,1950s
4da19dadb538b73d93014b2f,"""female""",1.0,1930,1930s
4da1c69bb538b73d93025aaa,"""male""",1.0,1917,1910s
4da1c6d4b538b73d93025c76,"""female""",8.0,1975,1970s
4da19dd1b538b73d93014cf2,"""male""",3.0,1951,1950s
4da19de8b538b73d93014e9e,"""female""",4.0,1902,1900s
4da19deab538b73d93014f24,"""male""",2.0,1905,1900s
4da19d8cb538b73d93014935,"""male""",1.0,1940,1940s
4e521683d707ff1dc7009ccb,"""male""",4.0,1943,1940s
4da19e07b538b73d93014fd4,"""male""",1.0,1935,1930s
4e1f927d72edc24d91000294,"""male""",12.0,1928,1920s
4da1bd1eb538b73d93023d6c,"""male""",10.0,1906,1900s
4da1b4deb538b73d9301eb65,"""male""",6.0,1948,1940s
4da1e57fb538b73d9302a270,"""female""",1.0,1972,1970s
5166a1e4d707ff3c2f000004,"""female""",1.0,1936,1930s
4da19e39b538b73d93015202,"""female""",3.0,1906,1900s
4da1b7e1b538b73d93020bdc,"""female""",2.0,1960,1960s
4da19e44b538b73d9301530f,"""female""",3.0,1938,1930s
4da1c6feb538b73d93025ea2,"""female""",4.0,1982,1980s
4da1b7f5b538b73d93020e68,"""male""",4.0,1945,1940s
4da1bb59b538b73d9302285d,"""male""",3.0,1943,1940s
4e520323d707ff1dc70007bd,"""male""",2.0,1904,1900s
4da19e7fb538b73d930155e2,"""male""",2.0,1930,1930s
4da19e84b538b73d930155f0,"""female""",2.0,1946,1940s
4da19ec6b538b73d930157ea,"""female""",3.0,1955,1950s
4da19ec7b538b73d9301581a,"""male""",1.0,1935,1930s
4da19edeb538b73d93015add,"""male""",2.0,1923,1920s
513fe07fd707ff6bcd001e4b,"""female""",2.0,1938,1930s
4da19f20b538b73d93015d7f,"""female""",1.0,1930,1930s
4da19f20b538b73d93015d55,"""female""",1.0,1945,1940s
4da1de2bb538b73d930292c1,"""female""",3.0,1958,1950s
4da19f28b538b73d93015e92,"""male""",6.0,1932,1930s
4da195a5b538b73d93005072,"""female""",2.0,1950,1950s
4e1f928072edc24d910002be,"""female""",2.0,1957,1950s
4da19ef7b538b73d93015c1e,"""female""",1.0,1970,1970s
4e1f928072edc24d910002c3,"""male""",3.0,1942,1940s
4da1eaf5b538b73d9302a6cc,"""female""",5.0,1971,1970s
4da19fe8b538b73d9301672e,"""male""",1.0,1912,1910s
4da1a014b538b73d93016817,"""male""",2.0,1938,1930s
4da19ffbb538b73d930167e2,"""female""",4.0,1952,1950s
4da1a049b538b73d93016a4a,"""female""",1.0,1956,1950s
4eda0b8fd707ff7d2b000002,"""male""",1.0,1944,1940s
4da1a08bb538b73d93016c4b,"""male""",1.0,1903,1900s
4da1b6d0b538b73d930204c4,"""female""",4.0,1955,1950s
